id,name,name_to_match,type,lang,notes
002wpgj09,Spaceworks NYC,spaceworks nyc,2,neo,
002yp7f20,Mahawitthayalai Thammasat,mahawitthayalai thammasat,2,th,
002yp7f20,Thammasat University,thammasat university,1,en,
002yp7f20,มหาวิทยาลัยธรรมศาสตร์,มหาวิทยาลัยธรรมศาสตร์,2,th,
002zm9348,Public Joint Stock Company Research and Production Enterprise Research and Design Institute of Geophysical Exploration Wells,public joint stock company research and production enterprise research and design institute of geophysical exploration wells,2,en,
002zm9348,VNIIGIS,vniigis,1,ru,
002zm9348,ВНИИГИС,вниигис,10,ru,
002zm9348,исследовательский и проектно-конструкторский институт геофизических исследований геологоразведочных скважин[,исследовательский и проектно-конструкторский институт геофизических исследований геологоразведочных скважин,2,ru,
0030zas98,HKPU,hkpu,10,en,
0030zas98,Hong Kong Polytechnic University,hong kong polytechnic university,1,en,
0030zas98,PolyU,polyu,2,en,
0030zas98,香港理工大學,香港理工大學,2,zh,
0033j3009,National Research Data Infrastructure for and with Computer Science,national research data infrastructure for and with computer science,2,en,
0033j3009,Nationale Forschungsdateninfrastruktur für und mit Computer Science,nationale forschungsdateninfrastruktur für und mit computer science,2,de,
0033j3009,NFDIxCS,nfdixcs,1,de,
0036wpk65,Institute for Transfusion Medicine,institute for transfusion medicine,1,en,
0036wpk65,ITxM,itxm,2,en,
0037zb552,Madras Institute of Orthopaedics and Traumatology,madras institute of orthopaedics and traumatology,1,en,
0037zb552,MIOT,miot,10,en,
0037zb552,MIOT International,miot international,2,en,
003ad2905,Farm Africa Kenya,farm africa kenya,1,en,
003e1fb38,Center for Snow and Avalanche Study Establishment,center for snow and avalanche study establishment,2,en,
003e1fb38,SASE,sase,10,en,
003e1fb38,Snow & Avalanche Study Estt,snow & avalanche study estt,1,en,
003e1fb38,Snow and Avalanche Study Establishment,snow and avalanche study establishment,2,en,
003e1fb38,सासे अनुसंधान केंद्र,सासे अनुसंधान केंद्र,2,hi,
003eyb898,FAST,fast,2,en,
003eyb898,FAST–NU,fast-nu,2,en,
003eyb898,National University of Computer and Emerging Sciences,national university of computer and emerging sciences,1,en,
003eyb898,NUCES,nuces,10,en,
003eyb898,فاسٹ یونیورسٹی,فاسٹ یونیورسٹی,2,ur,
003eyb898,نيشنل يونيورسٽي آف ڪمپيوٽر اينڊ امرجنگ سائنسز‎,نيشنل يونيورسٽي آف ڪمپيوٽر اينڊ امرجنگ سائنسز‎,2,sd,
003k32q32,Ctrip,ctrip,1,cm,appears to be a chinese travel company
003s3dn82,Shenkar,shenkar,2,pep,
003s3dn82,Shenkar College of Engineering and Design,shenkar college of engineering and design,1,en,
003s3dn82,"שנקר - הנדסה, עיצוב ואמנות",שנקר - הנדסה עיצוב ואמנות,2,he,
003t9wy25,Sweekaar,sweekaar,1,hi,
003t9wy25,Sweekaar Academy of Rehabilitation Sciences,sweekaar academy of rehabilitation sciences,2,en,
003te8934,Umvoto Africa,umvoto africa,1,cm,commercial consultancy
0045hhf36,Ashghal,ashghal,1,ar,
0045hhf36,هيئة الأشغال العامة,هيئة الأشغال العامة,2,ar,
004cmqw89,Allgemeine Ortskrankenkasse,allgemeine ortskrankenkasse,2,cm,
004cmqw89,AOK,aok,1,cm,"Allgemeine Ortskrankenkasse, German health insurance company"
0051w2v06,UET Lahore,uet lahore,2,en,
0051w2v06,University of Engineering and Technology Lahore,university of engineering and technology lahore,1,en,
0051w2v06,جامعہ ہندسیات و طرزیات، لاہور,جامعہ ہندسیات و طرزیات، لاہور,2,ur,
0053hg536,Arkana Laboratories,arkana laboratories,1,en,
0053hg536,Nephropath,nephropath,2,neo,
005mpbw70,UNINOVE ,uninove,2,pt,
005mpbw70,Universidade Nove de Julho,universidade nove de julho,1,pt,
005nzs995,GLE,gle,1,cs,?? derivation of acronym
005sm0w71,Geostationary Extended Observations,geostationary extended observations,2,en,
005sm0w71,GeoXO,geoxo,2,en,
005sm0w71,National Oceanic and Atmospheric Administration Geostationary Extended Observations,national oceanic and atmospheric administration geostationary extended observations,2,en,
005sm0w71,NOAA Geostationary Extended Observations,noaa geostationary extended observations,1,en,
005sm0w71,NOAA GeoXO,noaa geoxo,2,en,
005t7z309,Exploratory Research Center on Life and Living Systems,exploratory research center on life and living systems,2,en,
005t7z309,National Institutes of Natural Sciences Exploratory Research Center on Life and Living Systems,national institutes of natural sciences exploratory research center on life and living systems,2,en,
005t7z309,NINS Exploratory Research Center on Life and Living Systems,nins exploratory research center on life and living systems,2,en,
005t7z309,Seimei Sosei Tankyu Senta,seimei sosei tankyu senta,2,ja,
005t7z309,Seimei Sōsei Tankyū Sentā,seimei sōsei tankyū sentā,2,ja,
005t7z309,The Exploratory Research Center on Life and Living Systems,the exploratory research center on life and living systems,1,en,
005t7z309,セイメイソウセイタンキュウセンター,セイメイソウセイタンキュウセンター,2,ja,
005t7z309,せいめいそうせいたんきゅうセンター,せいめいそうせいたんきゅうセンター,2,ja,
005t7z309,生命創成探究センター,生命創成探究センター,2,ja,
006a04p80,DC3,dc3,2,en,
006a04p80,DCCC,dccc,10,en,
006a04p80,Dodge City Community College,dodge city community college,1,en,
006cgkx15,China National School of Administration,china national school of administration,2,en,
006cgkx15,Chinese Academy of Governance,chinese academy of governance,1,en,
006cgkx15,CNSA,cnsa,10,en,
006cgkx15,Ecole Nationale d’Administration,ecole nationale d’administration,2,fr,
006cgkx15,国家行政学院,国家行政学院,2,zh,
006cta510,CELIM,celim,1,en,"FP7 project acronym, began 2013, ended 2016"
006cta510,Fostering Excellence in Multiscale Cell Imaging,fostering excellence in multiscale cell imaging,2,en,Project title (from Cordis)
006grep18,Science Spaza,science spaza,1,en,"In South Africa, the word ‘spaza’ refers to the small, informal shops that provide essential goods to local communities throughout the country "
006kr7r70,Harry Oppenheimer Okavango Research Centre,harry oppenheimer okavango research centre,2,en,
006kr7r70,Okavango Research Centre,okavango research centre,2,en,
006kr7r70,Okavango Research Institute,okavango research institute,1,en,
006kr7r70,ORI,ori,10,en,
006tvg625,Bank of America,bank of america,1,en,
006tvg625,BoA,boa,10,en,
006tvg625,BofA,bofa,2,en,
006vxbq87,ATOMKI,atomki,2,hu,
006vxbq87,Atommagkutató Intézet,atommagkutató intézet,2,hu,
006vxbq87,HUN-REN Atommagkutató Intézet,hun-ren atommagkutató intézet,2,hu,
006vxbq87,HUN-REN Institute for Nuclear Research,hun-ren institute for nuclear research,1,en,
006vxbq87,Institute for Nuclear Research,institute for nuclear research,2,en,
006zxtd57,Boso no Mura,boso no mura,1,ja,
006zxtd57,千葉県立房総のむら,千葉県立房総のむら,2,ja,
0072ngz93,Nectaerra,nectaerra,1,cm,commercial agricultural consultancy
0078bd381,UCL Qatar,ucl qatar,2,en,
0078bd381,University College London Qatar,university college london qatar,1,en,
007b1fc92,ADAL,adal,10,es,
007b1fc92,Asociación de Arte Latinoamericano,asociación de arte latinoamericano,2,es,
007b1fc92,INTAR,intar,1,en,
007b1fc92,International Arts Relations,international arts relations,2,en,
007b60k22,Empire State Library Network,empire state library network,1,en,
007b60k22,ESLN,esln,10,en,
007b60k22,NY 3Rs,ny 3rs,2,en,seems to be a previous name
007b60k22,NY 3Rs Association,ny 3rs association,2,en,seems to be a previous name
007bxt841,Bais HaMedrash and Mesivta of Baltimore,bais hamedrash and mesivta of baltimore,1,en,
007bxt841,BHMB,bhmb,10,en,
007f1da21,Jāmi'at Baghdād,jāmi’at baghdād,2,ar,
007f1da21,University of Baghdad,university of baghdad,1,en,
007f1da21,UOB,uob,10,en,
007f1da21,جامعة بغداد,جامعة بغداد,2,ar,
007fea852,Kostomuksha Nature Reserve,kostomuksha nature reserve,1,en,
007fea852,Kostomukshsky,kostomukshsky,2,gep,
007fea852,Костомукшский заповедник,костомукшский заповедник,2,ru,
007mfjf50,Kyūshū Kokuritsu Hakubutsukan,kyūshū kokuritsu hakubutsukan,2,ja,
007mfjf50,Kyushu National Museum,kyushu national museum,1,en,
007mfjf50,九州国立博物館,九州国立博物館,2,ja,
007vffa52,Foodlink,foodlink,1,cm,appears to be a nutrition company in the US
007wpch15,inStem,instem,2,en,
007wpch15,Institute for Stem Cell Biology and Regenerative Medicine,institute for stem cell biology and regenerative medicine,1,en,
008382c47,Sendai City Museum,sendai city museum,1,en,
008382c47,Sendai-shi Hakubutsukan,sendai-shi hakubutsukan,2,ja,
008382c47,仙台市博物館,仙台市博物館,2,ja,
00840ea57,Jāmi'at Al Basrah,jāmi’at al basrah,2,ar,
00840ea57,University of Basrah,university of basrah,1,en,
00840ea57,جامعة البصرة,جامعة البصرة,2,ar,
008891s18,Finnish Biological Society Vanamo,finnish biological society vanamo,2,en,
008891s18,Societas Biologica Fennica Vanamo,societas biologica fennica vanamo,2,la,
008891s18,Suomen Biologian Seura Vanamo ry,suomen biologian seura vanamo ry,1,fi,
008891s18,Vanamo-seura,vanamo-seura,2,fi,
008a9hf75,City University of Seattle,city university of seattle,1,en,
008a9hf75,CityU,cityu,2,en,
008bb2h75,Musashino Academia Musicae,musashino academia musicae,1,la,
008bb2h75,Musashino Ongaku Daigaku,musashino ongaku daigaku,2,ja,
008bb2h75,武蔵野音楽大学,武蔵野音楽大学,2,ja,
008e34j77,NetHope,nethope,1,neo,
008e8k888,IFR 128,ifr 128,2,fr,
008e8k888,SFR Biosciences,sfr biosciences,2,fr,
008e8k888,Structure Fédérative de Recherche Biosciences,structure fédérative de recherche biosciences,1,fr,
008e8k888,UAR 3444,uar 3444,2,fr,
008e8k888,UAR3444,uar3444,2,fr,
008e8k888,US8,us8,2,fr,
008nqzn46,Vigyan Prasar,vigyan prasar,1,hi,"Science dissemination’, or ‘popular science’"
008nqzn46,VP,vp,10,hi,
008nqzn46,विज्ञान प्रसार,विज्ञान प्रसार,2,hi,
008tr1381,Les Roches Crans-Montana,les roches crans-montana,2,gep,
008tr1381,Les Roches International School of Hotel Management,les roches international school of hotel management,1,en,
008tr1381,Les Roches Switzerland,les roches switzerland,2,en,
008yfsh88,Kokuritsu Rekishi Minzoku Hakubutsukan,kokuritsu rekishi minzoku hakubutsukan,2,ja,
008yfsh88,National Museum of Japanese History,national museum of japanese history,1,en,
008yfsh88,Rekihaku,rekihaku,2,ja,
008yfsh88,コクリツレキシミンゾクハクブツカン,コクリツレキシミンゾクハクブツカン,2,ja,
008yfsh88,こくりつれきしみんぞくはくぶつかん,こくりつれきしみんぞくはくぶつかん,2,ja,
008yfsh88,国立歴史民俗博物館,国立歴史民俗博物館,2,ja,
0093rkw25,Bhartiya Skill Development University,bhartiya skill development university,1,en,
0093rkw25,BSDU Jaipur,bsdu jaipur,2,en,
0093rkw25,BSDU University,bsdu university,2,en,
0093rkw25,भारतीय स्किल डवलपमेन्ट युनिवर्सिटी,भारतीय स्किल डवलपमेन्ट युनिवर्सिटी,2,hi,
0093y5e51,PanNature,pannature,1,neo,
0093y5e51,People and Nature Reconciliation,people and nature reconciliation,2,en,
0093y5e51,Trung tâm Con người và Thiên nhiên,trung tâm con người và thiên nhiên,2,vi,
0095wvm02,Move4Parkinson’s,move4parkinson’s,1,en,
009g8rq41,MAFRA,mafra,10,en,
009g8rq41,Ministry of Agriculture,ministry of agriculture,2,en,
009g8rq41,"Ministry of Agriculture, Food and Rural Affairs",ministry of agriculture food and rural affairs,1,en,
009g8rq41,Nongnim Chucksan Sikpum-bu,nongnim chucksan sikpum-bu,2,ko,
009gcq722,"Kensei Hospital, Tokushima",kensei hospital tokushima,1,en,
009gcq722,Tokushima Kensei Hospital,tokushima kensei hospital,2,en,
009gcq722,Tokushimakensēbyōin,tokushimakensēbyōin,2,ja,
009gcq722,Tokushimakenseibyouin,tokushimakenseibyouin,2,ja,
009gcq722,トクシマケンセイビョウイン,トクシマケンセイビョウイン,2,ja,
009gcq722,とくしまけんせいびょういん,とくしまけんせいびょういん,2,ja,
009gcq722,徳島健生病院,徳島健生病院,2,ja,
009hj8759,Grady,grady,2,pep,
009hj8759,Grady Hospital,grady hospital,2,en,
009hj8759,Grady Memorial Hospital,grady memorial hospital,1,en,
009hwr222,Pelum Association,pelum association,1,en,Participatory Ecological Land Use Management 
009hwr222,PELUM Zambia,pelum zambia,2,en,
009mwwv16,AZTERLAN,azterlan,1,neo,Derivation pf name unclear
009mwwv16,AZTERLAN Centro de Investigación Metalúrgica,azterlan centro de investigación metalúrgica,2,es,
009mwwv16,AZTERLAN Metallurgy Research Centre,azterlan metallurgy research centre,2,en,
009mwwv16,AZTERLAN Metalurgia Ikerketa Zentroa,azterlan metalurgia ikerketa zentroa,2,eu,
009mwwv16,Fundación AZTERLAN,fundación azterlan,2,es,
009mwwv16,IK4-Azterlan,ik4-azterlan,2,cm,Technology transfer spin off from tech centres
009vb3488,CLOCKSS,clockss,1,en,
009vb3488,Controlled LOCKSS,controlled lockss,2,en,
009vb3488,Controlled Lots of Copies Keep Stuff Safe,controlled lots of copies keep stuff safe,2,en,
009yjbg58,NDDU,nddu,10,en,
009yjbg58,Notre Dame,notre dame,2,en,
009yjbg58,Notre Dame of Dadiangas College,notre dame of dadiangas college,2,en,
009yjbg58,Notre Dame of Dadiangas University,notre dame of dadiangas university,1,en,
00a2xv884,Chekiang University,chekiang university,2,en,
00a2xv884,Zheda,zheda,2,zh,
00a2xv884,Zhejiang University,zhejiang university,1,en,
00a2xv884,ZJU,zju,10,en,
00a2xv884,浙江大学,浙江大学,2,zh,
00ad27c73,A. Alikhanyan National Laboratory,a alikhanyan national laboratory,1,en,
00ad27c73,AANL,aanl,10,en,
00ad27c73,Alikhanyan National Laboratory,alikhanyan national laboratory,2,en,
00ad27c73,Yerevan Physics Institute,yerevan physics institute,2,en,
00ad27c73,YerPhI,yerphi,2,en,
00ad27c73,Ա. Ի. Ալիխանյանի անվան ազգային գիտական լաբորատորիա,ա ի ալիխանյանի անվան ազգային գիտական լաբորատորիա,2,hy,
00ad27c73,Երևանի ֆիզիկայի ինստիտուտ,երևանի ֆիզիկայի ինստիտուտ,2,hy,
00af1rw21,Shodor,shodor,1,neo,
00akhwn95,Pasteur Institute,pasteur institute,2,en,
00akhwn95,QSMI,qsmi,10,en,
00akhwn95,Queen Saovabha Memorial Institute,queen saovabha memorial institute,1,en,
00akhwn95,Sathan Pasteur,sathan pasteur,2,th,
00akhwn95,Sathan Saovabha,sathan saovabha,2,th,
00at2pp81,Gender Studies,gender studies,1,en,? faculty at Charles University
00b0jb681,Krasnoyarsk State Medical Academy,krasnoyarsk state medical academy,2,en,
00b0jb681,Krasnoyarsk State Medical University,krasnoyarsk state medical university,1,en,
00b0jb681,KrasSMU,krassmu,2,en,
00b0jb681,Государственное бюджетное образовательное учреждение высшего профессионального образования Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого Министерства здравоохранения Российской Федерации,государственное бюджетное образовательное учреждение высшего профессионального образования красноярский государственный медицинский университет имени профессора вф войно-ясенецкого министерства здравоохранения российской федерации,2,ru,
00b0jfb70,BM-Science,bm-science,1,en,
00b0jfb70,Brain & Mind Technologies Research Centre,brain & mind technologies research centre,2,en,
00b30xv10,University of Pennsylvania,university of pennsylvania,1,en,
00b30xv10,UPenn,upenn,2,en,
00b80p354,Kanagawa Prefectural Kanazawa-Bunko Museum,kanagawa prefectural kanazawa-bunko museum,1,en,
00b80p354,Kanazawa Bunko,kanazawa bunko,2,ja,
00b80p354,神奈川県立金沢文庫,神奈川県立金沢文庫,2,ja,
00b8kjk28,Praxis,praxis,1,el,
00bame609,INIA,inia,10,en,
00bame609,INIA-WEST,inia-west,2,en,
00bame609,Integrative Neuroscience Initiative on Alcoholism,integrative neuroscience initiative on alcoholism,1,en,
00bf7t669,Ushahidi,ushahidi,2,sw,Swahili for ‘testimony’
00bf7t669,Ushahidi Network,ushahidi network,2,sw,
00bf7t669,"Ushahidi, Inc.",ushahidi inc,2,sw,open source software rather than a compamy
00bf7t669,"Ushahidi, Inc. (Kenya)",ushahidi inc kenya,1,sw,
00bfm8s22,Office of the Principal Scientific Adviser,office of the principal scientific adviser,1,en,
00bfm8s22,PSA’s Office,psa’s office,2,en,
00bqpz325,Tamkeen,tamkeen,1,neo,
00bqpz325,تمكين,تمكين,2,ar,
00bvrdy12,Medicon,medicon,1,cm,commercial clinic group
00bws1855,Bureau exécutif du président des États-unis,bureau exécutif du président des états-unis,2,fr,
00bws1855,EOP,eop,10,en,
00bws1855,EOPOTUS,eopotus,2,en,
00bws1855,Executive Office of the President,executive office of the president,1,en,
00bws1855,Oficina Ejecutiva del Presidente de los Estados Unidos,oficina ejecutiva del presidente de los estados unidos,2,es,
00bz97317,UNIFAVIP,unifavip,1,pt,Universidade Faculdade do Vale do Ipojuca. Part of the YDUQS[ group
00c7kqb82,"SE ""UKRMETRTESTSTANDART""",se ukrmetrteststandart,2,uk,
00c7kqb82,"State Enterprise «All-Ukrainian State Research and Production Center for Standardization, Metrology, Certification and Consumers Rights Protection»",state enterprise all-ukrainian state research and production center for standardization metrology certification and consumers rights protection,1,en,
00c7kqb82,"ДЕРЖАВНЕ ПІДПРИЄМСТВО «ВСЕУКРАЇНСЬКИЙ ДЕРЖАВНИЙ НАУКОВО-ВИРОБНИЧИЙ ЦЕНТР СТАНДАРТИЗАЦІЇ, МЕТРОЛОГІЇ, СЕРТИФІКАЦІЇ ТА ЗАХИСТУ ПРАВ СПОЖИВАЧІВ»",державне підприємство «всеукраїнський державний науково-виробничий центр стандартизації метрології сертифікації та захисту прав споживачів»,2,uk,
00c7kqb82,ДП «УКРМЕТРТЕСТСТАНДАРТ»,дп укрметртестстандарт,2,uk,
00c9qbz52,CLINAM,clinam,2,en,
00c9qbz52,European Foundation for Clinical Nanomedicine,european foundation for clinical nanomedicine,1,en,
00cefgj13,Caredoc,caredoc,1,neo,
00cepgz04,AES Algiers,aes algiers,2,"en, fr ",Derivation unclear
00cepgz04,ENSSEA,enssea,10,fr,l'École nationale supérieure de statistique et d'économie appliquée 
00cepgz04,National Higher School of Statistics and Applied Economy,national higher school of statistics and applied economy,1,en,
00cepgz04,National Institute of Planning and Statistics,national institute of planning and statistics,2,en,
00cepgz04,NIPS,nips,10,en,
00cepgz04,المدرسة الوطنية العليا للاحصاء و الاقتصاد التطبيقي الجزائر,المدرسة الوطنية العليا للاحصاء و الاقتصاد التطبيقي الجزائر,2,ar,
00cfa1c07,Palestine Technical University,palestine technical university,2,en,
00cfa1c07,Palestine Technical University - Kadoorie,palestine technical university - kadoorie,1,en,
00cfa1c07,PTU,ptu,10,en,
00cfa1c07,PTU Kadoorie,ptu kadoorie,2,en,
00cfa1c07,PTUK,ptuk,10,en,
00cfa1c07,جامعة فلسطين التقنية,جامعة فلسطين التقنية,2,ar,
00cfa1c07,جامعة فلسطين التقنية - خضوري,جامعة فلسطين التقنية - خضوري,2,ar,
00cjqbk89,Open Source Geospatial Foundation,open source geospatial foundation,2,en,
00cjqbk89,OSGeo,osgeo,1,en,
00cp8c465,Belarus Devlet Teknoloji Üniversitesi,belarus devlet teknoloji üniversitesi,2,tr,
00cp8c465,Belarusian State Technological University,belarusian state technological university,1,en,
00cp8c465,Belorussische Staatliche Technologische Universität,belorussische staatliche technologische universität,2,de,
00cp8c465,Belorussiýanyň Döwlet Tehnologiki Uniwersiteti,belorussiýanyň döwlet tehnologiki uniwersiteti,2,tk,
00cp8c465,BSTU,bstu,10,de,
00cp8c465,Universidad Estatal Tecnológica Bielorrusa,universidad estatal tecnológica bielorrusa,2,es,
00cp8c465,Université Technologique Biélorusse,université technologique biélorusse,2,fr,
00cp8c465,Беларускі дзяржаўны тэхналагічны ўніверсітэт,беларускі дзяржаўны тэхналагічны ўніверсітэт,2,be,
00cp8c465,Белорусский государственный технологический университет,белорусский государственный технологический университет,2,ru,
00cv9y106,Ghent University,ghent university,1,en,
00cv9y106,UGent,ugent,2,nl,
00cv9y106,Université de Gand,université de gand,2,fr,
00cv9y106,Universiteit Gent,universiteit gent,2,nl,
00cwrns71,Bhāratīya Antariksh Anusandhān Sangathan,bhāratīya antariksh anusandhān sangathan,2,hi,
00cwrns71,Indian Space Research Organisation,indian space research organisation,1,en,
00cwrns71,ISRO,isro,10,en,
00cwrns71,भारतीय अंतराळ संशोधन संस्था,भारतीय अंतराळ संशोधन संस्था,2,mr,
00cwrns71,भारतीय अंतरिक्ष अनुसंधान संगठन,भारतीय अंतरिक्ष अनुसंधान संगठन,2,hi,
00cwrns71,भारतीय अन्तरिक्ष अनुसन्धान संगठन,भारतीय अन्तरिक्ष अनुसन्धान संगठन,2,ne,
00cwrns71,ভারতীয় মহাকাশ গবেষণা সংস্থা,ভারতীয় মহাকাশ গবেষণা সংস্থা,2,bn,
00cwrns71,ਇਸਰੋ,ਇਸਰੋ,2,pa,
00cwrns71,ઇસરો,ઇસરો,2,gu,
00cwrns71,இந்திய விண்வெளி ஆய்வு மையம்,இந்திய விண்வெளி ஆய்வு மையம்,2,ta,
00cwrns71,భారతీయ అంతరిక్ష పరిశోధనా సంస్థ,భారతీయ అంతరిక్ష పరిశోధనా సంస్థ,2,te,
00cwrns71,ಭಾರತೀಯ ಬಾಹ್ಯಾಕಾಶ ಸಂಶೋಧನೆ ಸಂಸ್ಥೆ,ಭಾರತೀಯ ಬಾಹ್ಯಾಕಾಶ ಸಂಶೋಧನೆ ಸಂಸ್ಥೆ,2,kn,
